id,name,nation,pos,born,club,league,Last_played,Tackles_defense,Challenges_defense,Blocks_defense,Total_passing,Short_passing,Medium_passing,Long_passing,Expected_passing,Standard_shooting,Expected_shooting,Playing Time_stats,Performance_stats,Expected_stats,Progression_stats,Per_90_Minute_stats,age,defense_ratings,passing_ratings,shooting_ratings,keeping_ratings,potential_ratings,pos_encoded,overall_ratings,Market_Value,Image_URL
2277,Federico Valverde,URU,MF,1998,Real Madrid,ESP-La Liga,2425,18.01904762,28.15595238,19.33333333,5841.68,525.2650794,342.4761905,107.7746032,1.366666667,10.39063492,1.555619048,548.9238095,2.601190476,3.786904762,96.66666667,0.19552381,27,77.588,86.611305,75.25677854,10.1127778,88.78,7,87.21,130000000,https://img.a.transfermarkt.technology/portrait/header/369081-1731018042.jpg?lm=1
940,Rodri,ESP,MF,1996,Manchester City,ENG-Premier League,2425,16.31794872,25.18226496,10.18803419,5908.348718,432.6435897,376.2247863,118.6401709,1.379487179,7.727876603,0.726923077,376.5641026,1.615384615,2.006410256,71.05128205,0.108564103,29,70.302,83.98887,68.05721677,10.89098283,78.66,7,79.01,130000000,https://img.a.transfermarkt.technology/portrait/header/357565-1682587890.jpg?lm=1
374,Rodrigo,ESP,FW,1991,Leeds United,ENG-Premier League,2223,8.82,16.7,8,1861.184,206.3333333,127.7466667,54.35333333,0.975,12.18233333,3.505,464.72,4.7125,7.065,85.73333333,0.4208,34,43.64,76.935234,79.71777293,10.24916407,80.42,3,80.45,130000000,https://img.a.transfermarkt.technology/portrait/header/357565-1682587890.jpg?lm=1
611,Declan Rice,ENG,MF,1999,Arsenal,ENG-Premier League,2425,34.91428571,38.08690476,22.57142857,7352.688571,511.4380952,466.131746,146.0396825,1.607142857,8.514404762,1.258761905,715.7119048,2.857142857,3.425,104.1269841,0.152047619,26,83.488,83.376076,67.77160565,10.63841767,86.22,7,86.47,110000000,https://img.a.transfermarkt.technology/portrait/header/357662-1687962936.jpg?lm=1
622,Martin Ødegaard,NOR,MF,1998,Arsenal,ENG-Premier League,2425,12.57647059,22.35882353,7.490196078,4353.54,404.5392157,286.7941176,74.10392157,2.835294118,9.81904902,2.052117647,500.5191176,3.654411765,5.741176471,122.8627451,0.265470588,27,66.44,89.648026,82.371489,11.11239794,85.92,7,87.29,110000000,https://img.a.transfermarkt.technology/portrait/header/316264-1678877651.jpg?lm=1
5900,Lautaro Martínez,ARG,"FW,MF",1997,Inter,ITA-Serie A,2425,11,18.20952381,16.53968254,1743.598095,199.8126984,121.5650794,48.88253968,1.373809524,17.85662698,6.321809524,583.3369048,7.767857143,11.64761905,88.17460317,0.542761905,28,51.312,76.33478,89.52776733,11.01148978,86.44,5,87.01,100000000,https://img.a.transfermarkt.technology/portrait/header/406625-1695024988.jpg?lm=1
1995,Pedri,ESP,MF,2002,Barcelona,ESP-La Liga,2425,18.1,27.7525,18.2,5354.184,424.7033333,348.2466667,111.64,1.18,8.00825,1.753,446.18,2.375,4.4125,100.3666667,0.2526,23,68.946,86.80632,73.8949813,9.882544978,84.1,7,79.77,100000000,https://img.a.transfermarkt.technology/portrait/header/683840-1620304992.jpg?lm=1
2287,Rodrygo,BRA,FW,2001,Real Madrid,ESP-La Liga,2425,7.066666667,14.56666667,10.35555556,2475.949333,377.9288889,138.9333333,39.00666667,2.683333333,12.51744444,2.6748,451.1066667,4.1,7.128333333,129.4888889,0.408333333,24,42.438,78.006256,92.20769813,11.01830743,89.47,3,86.51,100000000,https://img.a.transfermarkt.technology/portrait/header/412363-1693988167.jpg?lm=1
4431,Harry Kane,ENG,FW,1993,Bayern Munich,GER-Bundesliga,2425,7,16.02619048,10.73015873,2488.759048,196.6873016,152.5698413,79.24126984,2.880952381,21.70063492,9.333714286,655.6547619,12.35119048,15.60238095,99.57142857,0.732761905,32,48.596,83.10146,97.04004195,11.36867894,88.67,3,89.14,90000000,https://img.a.transfermarkt.technology/portrait/header/132098-1700211169.jpg?lm=1
3609,Khvicha Kvaratskhelia,GEO,FW,2001,Paris S-G,FRA-Ligue 1,2425,9.955555556,18.04444444,6.814814815,2003.577778,216.1703704,129.8444444,60.41851852,1.555555556,12.25009259,2.220444444,343.8777778,3.333333333,5.3,87.88888889,0.401333333,24,42.272,80.58929,84.62280952,9.514066806,86.98,3,84.66,85000000,https://img.a.transfermarkt.technology/portrait/header/502670-1708553120.jpg?lm=1
912,Luis Díaz,COL,FW,1997,Liverpool,ENG-Premier League,2425,12.23333333,20.425,8.555555556,2418.96,265.6,159.1055556,59.91666667,1.341666667,12.10027778,2.96,455.8833333,3.791666667,7.429166667,118,0.407,28,54.91,80.61676,88.37484318,10.87892404,82.15,3,82.75,85000000,https://img.a.transfermarkt.technology/portrait/header/480692-1697903145.jpg?lm=1
895,Alexis Mac Allister,ARG,"MF,FW",1998,Liverpool,ENG-Premier League,2425,33.13333333,48.99833333,27.33333333,4900.806667,435.3777778,324.6222222,78.78666667,1.676666667,8.877166667,1.2416,514.3683333,3.058333333,4.173333333,75.68888889,0.184333333,27,69.554,80.61038,69.65612523,10.40149223,80.53,9,79.56,80000000,https://img.a.transfermarkt.technology/portrait/header/534033-1669835342.jpg?lm=1
2268,Aurélien Tchouaméni,FRA,MF,2000,Real Madrid,ESP-La Liga,2425,24.11304348,27.40108696,12.14492754,5591.530435,401.2710145,383.3695652,87.56666667,0.906521739,6.514855072,0.378173913,443.3532609,1.233695652,1.622826087,50.66666667,0.092,25,79.55,83.30033,59.3847881,9.371353184,85.72,7,84.16,80000000,https://img.a.transfermarkt.technology/portrait/header/413112-1668500754.jpg?lm=1
972,Bruno Guimarães,BRA,MF,1997,Newcastle Utd,ENG-Premier League,2425,34.42666667,42.24,19.82222222,6334.930667,464.4288889,402.6177778,124.9311111,2.453333333,7.853555556,1.483866667,611.4016667,3.441666667,4.395,100.5777778,0.196266667,28,74.988,85.45721,69.35903471,10.71420993,85.45,7,84.58,80000000,https://img.a.transfermarkt.technology/portrait/header/520624-1668522672.jpg?lm=1
2275,Eduardo Camavinga,FRA,MF,2002,Real Madrid,ESP-La Liga,2425,32.57142857,36.44761905,16.34920635,4209.762857,349.9539683,300.6063492,72.66507937,0.945238095,5.199388889,0.105047619,395.9392857,1.089285714,1.064285714,63.42857143,0.080380952,23,78.402,81.981186,60.21133115,10.05645945,87.07,7,83.58,80000000,https://img.a.transfermarkt.technology/portrait/header/640428-1668500874.jpg?lm=1
1982,Gavi,ESP,"MF,FW",2004,Barcelona,ESP-La Liga,2425,13.06666667,28.25416667,9.777777778,1657.293333,206.2944444,116.1555556,45.03333333,0.683333333,3.849583333,0.288666667,235.0916667,1.166666667,1.429166667,36.11111111,0.160166667,21,70.064,73.94097,56.22529741,9.703026871,83.56,9,73.84,80000000,https://img.a.transfermarkt.technology/portrait/header/646740-1682685701.jpg?lm=1
1962,Julián Álvarez,ARG,"FW,MF",2000,Atlético Madrid,ESP-La Liga,2425,9.733333333,17.61666667,12.11111111,2387.883333,291.7055556,154.0388889,54.92777778,1.825,13.88138889,3.227333333,477.2708333,4.416666667,7.875,81.55555556,0.409666667,25,51.666,80.12601,84.2957805,10.28053621,87.01,5,84.4,80000000,https://img.a.transfermarkt.technology/portrait/header/576024-1684920938.jpg?lm=1
755,Moisés Caicedo,ECU,MF,2001,Chelsea,ENG-Premier League,2425,42.23333333,44.92916667,27.88888889,7290.326667,604.2388889,464.0277778,113.6944444,0.816666667,5.839583333,0.409,645.3041667,1.958333333,1.741666667,70.72222222,0.074,24,83.938,80.982216,56.21687465,10.22938279,86.78,7,84.88,80000000,https://img.a.transfermarkt.technology/portrait/header/687626-1660729724.jpg?lm=1
5906,Nicolò Barella,ITA,MF,1997,Inter,ITA-Serie A,2425,23.48571429,35.72738095,17.42857143,6451.78381,507.1936508,393.9984127,123.2174603,2.435714286,8.182857143,1.235904762,608.8130952,3.029761905,4.060714286,132.7301587,0.197190476,28,79.672,85.63543,77.07520798,10.78145095,86.48,7,87.06,80000000,https://img.a.transfermarkt.technology/portrait/header/255942-1725531625.jpg?lm=1
2695,Pablo,BRA,DF,1991,Bordeaux,FRA-Ligue 1,2021,11.33333333,24.375,14.33333333,5124.523333,229.85,374.9277778,103.8166667,0.05,4.272361111,0.823,410.0291667,1.291666667,1.129166667,11.44444444,0.080333333,34,76.76,63.379757,45.04281605,13.30879286,76.04,0,75.31,80000000,https://img.a.transfermarkt.technology/portrait/header/646740-1682685701.jpg?lm=1
1996,Raphinha,BRA,"MF,FW",1996,Barcelona,ESP-La Liga,2425,11.48235294,21.63235294,13.21568627,2925.844706,248.1843137,182.5784314,89.78235294,2.638235294,12.92107843,2.825647059,426.1029412,4.985294118,9.689705882,115.4509804,0.552176471,29,50.168,81.56912,94.52536933,10.53214367,85.65,9,84.19,80000000,https://img.a.transfermarkt.technology/portrait/header/411295-1729754479.png?lm=1
631,William Saliba,FRA,DF,2001,Arsenal,ENG-Premier League,2425,17.99047619,28.18452381,12.19047619,8337.299048,504.4253968,593.3793651,102.9571429,0.283333333,4.850615079,0.684190476,577.5142857,1.05952381,1.15,38.76190476,0.053142857,24,82.84,74.900536,47.59466574,13.02027563,86.69,0,86.19,80000000,https://img.a.transfermarkt.technology/portrait/header/495666-1718697201.jpg?lm=1
4716,Xavi Simons,NED,MF,2003,RB Leipzig,GER-Bundesliga,2425,7.933333333,20.56666667,7.777777778,2697.39,264.0444444,165,71.05555556,2.1,10.49270833,1.816333333,360.1625,3.6875,5.145833333,95.11111111,0.421166667,22,58.016,82.687996,82.4259466,9.640315877,88.94,7,84.46,80000000,https://img.a.transfermarkt.technology/portrait/header/566931-1729778226.jpg?lm=1
5889,Alessandro Bastoni,ITA,DF,1999,Inter,ITA-Serie A,2425,19.11428571,28.88333333,14.88888889,8104.225714,444.5380952,508.6952381,175.352381,1.302380952,4.958888889,0.322571429,538.8321429,1.517857143,1.721428571,73.87301587,0.094571429,26,83.064,78.46185,58.1108399,10.05458318,86.99,0,86.54,75000000,https://img.a.transfermarkt.technology/portrait/header/315853-1727024207.jpg?lm=1
1180,Alexander,ARG,FW,1988,Leganés,ESP-La Liga,1819,0.4,25.5,0,26.4,29.66666667,0.666666667,0.333333333,0,0,0,2.775,0,0,1,0,37,53.44,51.58486,44.86184,10.46091686,65.64,3,64.02,75000000,https://img.a.transfermarkt.technology/portrait/header/314353-1701680958.jpg?lm=1
970,Alexander Isak,SWE,FW,1999,Newcastle Utd,ENG-Premier League,2425,3.977777778,14.18083333,8.666666667,1116.937778,149.0166667,89.33703704,31.32407407,0.883333333,13.62226852,5.134777778,420.9013889,6.131944444,9.572222222,68.66666667,0.560722222,26,36.848,72.40713,80.44107337,9.922568961,85.89,3,84.87,75000000,https://img.a.transfermarkt.technology/portrait/header/349066-1680791339.jpg?lm=1
904,Dominik Szoboszlai,HUN,"MF,FW",2000,Liverpool,ENG-Premier League,2425,13.76666667,27.375,21.33333333,4411.606667,410.6277778,266.9111111,96.3,1.425,10.94180556,1.386333333,476.4416667,2.645833333,6.141666667,100.4444444,0.283333333,25,61.314,81.486565,83.37538798,10.49777216,84.82,9,81.62,75000000,https://img.a.transfermarkt.technology/portrait/header/451276-1700209677.jpg?lm=1
745,Enzo Fernández,ARG,MF,2001,Chelsea,ENG-Premier League,2425,23.73333333,40.35833333,19.55555556,6214.696667,402.3388889,387.0222222,143.2777778,1.6,8.165416667,0.952333333,464.525,2.3125,3.9625,82.66666667,0.2055,24,72.112,87.01784,71.38400093,10.16347874,84.44,7,81.85,75000000,https://img.a.transfermarkt.technology/portrait/header/648195-1669894717.jpg?lm=1
614,Gabriel Magalhães,BRA,DF,1997,Arsenal,ENG-Premier League,2425,18.0952381,27.38571429,24.79365079,7933.681905,455.168254,583.0333333,116.847619,0.223809524,6.052857143,1.148,633.5238095,1.601190476,2.528571429,43.15873016,0.093952381,28,77.204,69.44447,50.55006805,10.70556832,79.25,0,78.24,75000000,https://img.a.transfermarkt.technology/portrait/header/435338-1684162833.jpg?lm=1
929,Joško Gvardiol,CRO,DF,2002,Manchester City,ENG-Premier League,2425,21.13333333,27.70416667,20.77777778,7485.79,588.2388889,526.0666667,94.58333333,0.491666667,7.955972222,1.622,555.5166667,1.8125,3.1375,92.72222222,0.144666667,23,72.644,76.246086,67.31441758,10.13842544,84.25,0,78.97,75000000,https://img.a.transfermarkt.technology/portrait/header/475959-1713391602.jpg?lm=1
619,Kai Havertz,GER,"MF,FW",1999,Arsenal,ENG-Premier League,2425,12.61904762,21.27738095,16.63492063,2579.059048,359.784127,164.1460317,37.8047619,1.692857143,12.84095238,3.708952381,577.7309524,5.291666667,9.045238095,107.3333333,0.394142857,26,49.662,80.410904,84.66539167,10.46784216,85.17,9,82.14,75000000,https://img.a.transfermarkt.technology/portrait/header/309400-1683903902.jpg?lm=1
5901,Marcus Thuram,FRA,"FW,MF",1997,Inter,ITA-Serie A,2425,10.6952381,17.37619048,13.93650794,1446.230476,223.5333333,104.584127,30.04285714,2.261904762,14.2431746,4.719238095,564.0107143,6.095238095,10.41428571,95.77777778,0.498428571,28,49.35,75.63987,85.51325812,10.28148496,84.82,5,83.92,75000000,https://img.a.transfermarkt.technology/portrait/header/318528-1662966601.jpg?lm=1
5277,Rafael,BRA,DF,1990,Spezia,ITA-Serie A,2021,5.225,19.3125,2.583333333,1273.9025,114.8625,81.175,41.24166667,0.1625,5.0646875,0.004875,128.309375,0.296875,0.221875,13.33333333,0.080875,35,67.092,63.063282,56.23886274,73.62464576,71.52,0,75.57,75000000,https://img.a.transfermarkt.technology/portrait/header/357164-1730126553.jpg?lm=1
5999,Rafael Leão,POR,FW,1999,Milan,ITA-Serie A,2425,5.561904762,17.82142857,7.523809524,2311.470476,220.4761905,170.2380952,55.36031746,2.533333333,12.59539683,3.320380952,502.55,4.976190476,8.322619048,126.5238095,0.428571429,26,42.614,78.59467,90.33702526,10.67082408,89.53,3,87.47,75000000,https://img.a.transfermarkt.technology/portrait/header/357164-1730126553.jpg?lm=1
941,Rúben Dias,POR,DF,1997,Manchester City,ENG-Premier League,2425,11.14,21.8625,14.2,9435.282,525.3066667,694.3166667,116.06,0.305,5.421416667,0.0584,496.99,0.3125,1.1425,50.06666667,0.0323,28,77.122,75.49714,55.15343151,11.58661476,76.79,0,77.32,75000000,https://img.a.transfermarkt.technology/portrait/header/258004-1684921271.jpg?lm=1
1621,Rubén,ESP,GK,1984,Espanyol,ESP-La Liga,2223,7.6,27.16666667,4.666666667,1542.366667,76.97777778,69.48888889,73.79444444,0.35,2.004583333,0.012,200.1041667,0.354166667,0.5625,17.5,0.0625,41,68.796,69.89866,48.26868209,73.62464576,76.69,6,77.58,75000000,https://img.a.transfermarkt.technology/portrait/header/258004-1684921271.jpg?lm=1
4920,Sandro,BRA,MF,1989,Genoa,ITA-Serie A,1819,11.7,20.8375,7.666666667,1132.67,111.7666667,99.01666667,38.28333333,0.25,4.134166667,0.007,170.0625,0.625,0.3375,10.5,0.0445,36,71.178,69.065956,52.32237579,10.87818568,71.61,7,70.9,75000000,https://img.a.transfermarkt.technology/portrait/header/315853-1727024207.jpg?lm=1
915,Trent Alexander-Arnold,ENG,DF,1998,Liverpool,ENG-Premier League,2425,27.23809524,48.85238095,15.46031746,9758.347619,565.5619048,536.3126984,258.1936508,3.107142857,8.717619048,0.848095238,625.7071429,3.136904762,5.70952381,133.2698413,0.235190476,27,69.826,88.3149,81.36785466,11.09401094,86.66,0,87.5,75000000,https://img.a.transfermarkt.technology/portrait/header/314353-1701680958.jpg?lm=1
5589,Victor Osimhen,NGA,FW,1998,Napoli,ITA-Serie A,2324,6.16,10.1275,3.866666667,781.072,126.1666667,67.96666667,26.01333333,0.89,17.92958333,6.4684,544.9725,8.3125,12.3425,69.7,0.6027,27,48.64,63.699757,87.70955937,11.27136227,82.64,3,80.19,75000000,https://img.a.transfermarkt.technology/portrait/header/401923-1737730981.jpg?lm=1
1938,Nico Williams,ESP,MF,2002,Athletic Club,ESP-La Liga,2425,12.4,22.7025,11.86666667,1929.494,212.91,137.6466667,48.74666667,2.81,9.206972222,1.2564,462.0425,2.875,4.96,133.1333333,0.2478,23,70.198,67.7139,85.10862473,10.67810958,82.36,7,75.47,70000000,https://img.a.transfermarkt.technology/portrait/header/709187-1709676169.png?lm=1
1993,Pau Cubarsí,ESP,DF,2007,Barcelona,ESP-La Liga,2425,10.53333333,25.2,8,8702.673333,378.0333333,655.7,127.8666667,0.366666667,1.474722222,0.015333333,437.6083333,0.75,0.975,42.33333333,0.05,18,77.074,74.54823,45.91206454,10.46811426,85.22,0,75.37,70000000,https://img.a.transfermarkt.technology/portrait/header/962110-1712779232.jpg?lm=1
4073,William,BRA,DF,1995,Schalke 04,GER-Bundesliga,2021,13.48888889,23.33333333,8.074074074,1760.711111,142.6296296,118.2555556,56.74444444,0.311111111,5.141481481,0.191777778,196.75,0.472222222,0.802777778,31.48148148,0.044555556,30,68.434,66.309425,58.45126275,9.401490669,72.18,0,71.09,70000000,https://img.a.transfermarkt.technology/portrait/header/709187-1709676169.png?lm=1
3603,Bradley Barcola,FRA,"FW,MF",2002,Paris S-G,FRA-Ligue 1,2425,10.125,14.484375,12.08333333,1298.5125,193.3041667,97.4125,25.03333333,1.58125,8.444340278,2.327,281.69375,3.46875,6.0125,88.79166667,0.4705,23,42.47,74.466225,78.56704722,9.424611753,88.1,5,82.75,65000000,https://img.a.transfermarkt.technology/portrait/header/708265-1653406915.jpg?lm=1
1056,Cristian Romero,ARG,DF,1998,Tottenham,ENG-Premier League,2425,27.8,34.83452381,23.11111111,7525.439048,393.9396825,544.231746,104.2809524,0.454761905,5.697380952,0.804285714,546.525,1.910714286,1.746428571,39.19047619,0.082714286,27,78.22,66.764946,51.1592799,9.715074747,79.83,0,77.26,65000000,https://img.a.transfermarkt.technology/portrait/header/355915-1665609429.jpg?lm=1
902,Darwin Núñez,URU,FW,1999,Liverpool,ENG-Premier League,2425,9.233333333,18.425,6.777777778,871.1133333,115.95,75.48333333,35.78888889,1.466666667,13.12847222,2.895333333,358.1166667,4.5625,8.3375,66.38888889,0.523666667,26,49.27,73.34362,84.6163167,10.03273367,84.21,3,81.38,65000000,https://img.a.transfermarkt.technology/portrait/header/546543-1681827179.jpg?lm=1
4443,Michael Olise,FRA,"FW,MF",2001,Bayern Munich,GER-Bundesliga,2425,14.4,24.8375,15.44444444,3247.85,338.1222222,194.25,72.74444444,3.766666667,11.89263889,2.617333333,387.2666667,4.479166667,6.233333333,115.5,0.551666667,24,55.702,83.34794,88.96762049,10.22329991,88.3,5,85.07,65000000,https://img.a.transfermarkt.technology/portrait/header/566723-1725873883.jpg?lm=1
3602,Achraf Hakimi,MAR,DF,1998,Paris S-G,FRA-Ligue 1,2425,22.91428571,35.24642857,17.26984127,5962.762857,652.447619,348.6492063,70.51111111,2.783333333,9.014047619,1.644190476,509.6142857,3.452380952,5.04047619,153.984127,0.280619048,27,67.148,79.30948,86.82246622,11.51914486,82.99,0,81.75,60000000,https://img.a.transfermarkt.technology/portrait/header/398073-1672304327.jpg?lm=1
971,Anthony Gordon,ENG,"MF,FW",2001,Newcastle Utd,ENG-Premier League,2425,14.58888889,22.35833333,11.85185185,1750.087778,196.0777778,118.0277778,47.42592593,1.511111111,9.392574074,1.8378,377.2375,3.381944444,5.273611111,78.68518519,0.283388889,24,55.342,73.65853,75.67490874,10.23587339,84.98,9,81.31,60000000,https://img.a.transfermarkt.technology/portrait/header/503733-1660588736.jpg?lm=1
226,Bernard,BRA,"FW,MF",1992,Everton,ENG-Premier League,2021,11.9,25.1,10.66666667,1496,169.0111111,117.5111111,36.86666667,0.666666667,6.01375,0.684333333,262.3416667,1.229166667,1.6125,61.66666667,0.163666667,33,70.002,70.06752,65.07308804,11.31182545,75.64,5,75.16,60000000,https://img.a.transfermarkt.technology/portrait/header/241641-1684311533.jpg?lm=1
4451,Bernardo,BRA,DF,1995,Bochum,GER-Bundesliga,2425,23.13333333,34.06333333,18.04444444,2959.074667,195.9777778,203.2555556,70.26,0.176666667,4.685041667,0.121733333,334.19,0.591666667,0.823333333,35.28888889,0.0478,30,74.258,61.307285,54.45250947,10.06880085,76.8,0,76.26,60000000,https://img.a.transfermarkt.technology/portrait/header/241641-1684311533.jpg?lm=1
920,Bernardo Silva,POR,"MF,FW",1994,Manchester City,ENG-Premier League,2425,20.17142857,33.55238095,16.88888889,5320.519048,554.8698413,344.3777778,88.70793651,3.035714286,8.668095238,1.602190476,571.0285714,3.708333333,5.064285714,146.984127,0.250714286,31,68.35,75.87699,82.85340896,11.52094064,83.28,9,82.83,60000000,https://img.a.transfermarkt.technology/portrait/header/241641-1684311533.jpg?lm=1
899,Cody Gakpo,NED,"FW,MF",1999,Liverpool,ENG-Premier League,2425,12.26666667,22.75,11.77777778,1486.18,190.0111111,113.5,34.62777778,1.475,11.12986111,3.161,375.5958333,4.104166667,6.6375,85.44444444,0.487666667,26,47.742,77.916016,80.22961185,9.845836035,86.32,5,84.3,60000000,https://img.a.transfermarkt.technology/portrait/header/434675-1682690965.jpg?lm=1
1977,Dani Olmo,ESP,"MF,FW",1998,Barcelona,ESP-La Liga,2425,9.413333333,15.60333333,5.555555556,2035.632,208.6866667,134.1977778,54.5,1.793333333,9.485222222,1.589733333,312.2516667,2.491666667,4.23,67.02222222,0.396133333,27,44.808,78.362335,74.83922253,9.519689192,78.74,9,77.59,60000000,https://img.a.transfermarkt.technology/portrait/header/293385-1711546268.jpg?lm=1
1058,Dejan Kulusevski,SWE,MF,2000,Tottenham,ENG-Premier League,2425,20.39047619,32.87142857,14.50793651,2712.913333,321.1761905,179.3428571,48.02698413,1.485714286,9.718968254,2.207428571,561.2416667,3.702380952,5.798809524,149.6825397,0.270285714,25,63.466,82.44232,85.6626277,11.5709978,86.58,7,84.85,60000000,https://img.a.transfermarkt.technology/portrait/header/431755-1684943454.jpg?lm=1
5915,Dušan Vlahović,SRB,FW,2000,Juventus,ITA-Serie A,2425,3.571428571,12.69285714,4.952380952,1079.349524,136.9063492,98.56825397,33.6984127,0.683333333,14.06511905,4.064095238,485.6297619,5.779761905,8.385714286,61.79365079,0.434238095,25,35.786,68.463684,78.97897496,10.20288746,85.53,3,82.78,60000000,https://img.a.transfermarkt.technology/portrait/header/357498-1683293071.jpg?lm=1
5894,Federico Dimarco,ITA,"DF,MF",1997,Inter,ITA-Serie A,2425,12.39130435,22.0057971,8.898550725,4022.388696,284.9681159,253.3869565,109.2289855,1.286956522,9.255483092,1.315478261,422.0608696,2.298913043,4.334782609,85.65217391,0.250086957,28,73.214,81.646736,75.47779986,10.03306741,84.02,2,84.33,60000000,https://img.a.transfermarkt.technology/portrait/header/198116-1725531769.jpg?lm=1
5917,Gleison Bremer,BRA,DF,1997,Juventus,ITA-Serie A,2425,19.64761905,28.46309524,23.9047619,6455.018095,266.8571429,459.3809524,136.1,0.080952381,4.675535714,1.00847619,534.9630952,1.619047619,1.697619048,24.96825397,0.067238095,28,76.628,64.70909,45.49194017,11.78307312,79.28,0,77.85,60000000,https://img.a.transfermarkt.technology/portrait/header/516716-1725531520.jpg?lm=1
1214,Ivi,ESP,"MF,FW",1994,Valladolid,ESP-La Liga,1819,0,0,0,43.94,32.66666667,34.66666667,0.666666667,0,2.941666667,0.012,5.8,0,0.075,1.333333333,0.104,31,36.042,56.82081,52.11334643,10.28269512,68.55,9,66.73,60000000,https://img.a.transfermarkt.technology/portrait/header/411975-1702502639.jpg?lm=1
